empresa,ruta,codigo_servicio,kmz,url_oficial,rq_ida_km,rq_ida_min,rq_regreso_km,rq_regreso_min,advertencia
COOASOATLAN,C1-4132,C1,COOASOATLAN/C1-4132.kmz,https://www.ambq.gov.co/ruta-de-buses/COOASOATLAN/C1-4132.kmz,,,,,
COOASOATLAN,C1-B-4186,C1-B,COOASOATLAN/C1-B-4186.kmz,https://www.ambq.gov.co/ruta-de-buses/COOASOATLAN/C1-B-4186.kmz,,,,,
COOASOATLAN,C20-4181,C20,COOASOATLAN/C20-4181.kmz,https://www.ambq.gov.co/ruta-de-buses/COOASOATLAN/C20-4181.kmz,23.66,95,26.62,107,
COOASOATLAN,C20-B-4187,C20-B,COOASOATLAN/C20-B-4187.kmz,https://www.ambq.gov.co/ruta-de-buses/COOASOATLAN/C20-B-4187.kmz,,,,,
COOCHOFAL,A15-4159,A15,COOCHOFAL/A15-4159.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/A15-4159.kmz,,,,,
COOCHOFAL,C2-4133,C2,COOCHOFAL/C2-4133.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C2-4133.kmz,,,,,
COOCHOFAL,C2-B-4187,C2-B,COOCHOFAL/C2-B-4187.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C2-B-4187.kmz,,,,,
COOCHOFAL,C3-4134,C3,COOCHOFAL/C3-4134.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C3-4134.kmz,,,,,
COOCHOFAL,C4-4135,C4,COOCHOFAL/C4-4135.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C4-4135.kmz,30.48,122,29.69,119,
COOCHOFAL,C9-4140,C9,COOCHOFAL/C9-4140.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C9-4140.kmz,27.1,109,27.1,109,
COOCHOFAL,C18-4141,C18,COOCHOFAL/C18-4141.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/C18-4141.kmz,,,,,
COOCHOFAL,D20-4185,D20,COOCHOFAL/D20-4185.kmz,https://www.ambq.gov.co/ruta-de-buses/COOCHOFAL/D20-4185.kmz,,,,,
COOLITORAL,A1-4106 A,A1,COOLITORAL/A1-4106 A.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/A1-4106%20A.kmz,,,,,
COOLITORAL,A1-4106 B,A1,COOLITORAL/A1-4106 B.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/A1-4106%20B.kmz,,,,,
COOLITORAL,A2-4107,A2,COOLITORAL/A2-4107.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/A2-4107.kmz,,,,,
COOLITORAL,A3-4108,A3,COOLITORAL/A3-4108.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/A3-4108.kmz,23.24,93,23.24,93,
COOLITORAL,A4-4109,A4,COOLITORAL/A4-4109.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/A4-4109.kmz,,,,,
COOLITORAL,B1-4117,B1,COOLITORAL/B1-4117.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/B1-4117.kmz,46.4,186,40.62,163,
COOLITORAL,B2A-4177,B2A,COOLITORAL/B2A-4177.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/B2A-4177.kmz,,,,,
COOLITORAL,B3-4119,B3,COOLITORAL/B3-4119.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/B3-4119.kmz,,,,,
COOLITORAL,B17-4163,B17,COOLITORAL/B17-4163.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/B17-4163.kmz,31.75,128,28.21,113,
COOLITORAL,C19-4178,C19,COOLITORAL/C19-4178.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/C19-4178.kmz,,,,,
COOLITORAL,PT1-4101,PT1,COOLITORAL/PT1-4101.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/PT1-4101.kmz,,,,,
COOLITORAL,PT2-4102,PT2,COOLITORAL/PT2-4102.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/PT2-4102.kmz,,,,,
COOLITORAL,PT3-4103,PT3,COOLITORAL/PT3-4103.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/PT3-4103.kmz,,,,,
COOLITORAL,PT4-4104,PT4,COOLITORAL/PT4-4104.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/PT4-4104.kmz,,,,,
COOLITORAL,PT5-4105,PT5,COOLITORAL/PT5-4105.kmz,https://www.ambq.gov.co/ruta-de-buses/COOLITORAL/PT5-4105.kmz,,,,,
COOTRAB,C5-4135,C5,COOTRAB/C5-4135.kmz,https://www.ambq.gov.co/ruta-de-buses/COOTRAB/C5-4135.kmz,,,,,
COOTRAB,C6-4137,C6,COOTRAB/C6-4137.kmz,https://www.ambq.gov.co/ruta-de-buses/COOTRAB/C6-4137.kmz,,,,,
COOTRANSCO,C7-4138,C7,COOTRANSCO/C7-4138.kmz,https://www.ambq.gov.co/ruta-de-buses/COOTRANSCO/C7-4138.kmz,,,,,
